name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,,
Revolution,Steel,Sit Down,72,17,193,1,Arrow,Blackpool Pleasure Beach,status.operating,,
Jungle Coaster,Steel,Sit Down,50,18,370,0,Mack,Legoland Windsor,status.closed.definitely,,
Lady Bird,Steel,Sit Down,32,6,200,0,Zierer,Lightwater Valley,status.operating,,
Circus Clown,Steel,Sit Down,,,,0,Pinfari,Blackpool Pleasure Beach,status.closed.definitely,,
Oblivion,Steel,Sit Down,110,20,372,0,B&M,Alton Towers,status.operating,,
Hyper Space Mountain,Steel,Sit Down,70,31,1000,3,Vekoma,Disneyland Park,status.operating,,
Big One,Steel,Sit Down,120,65,1675,0,Arrow,Blackpool Pleasure Beach,status.operating,,
Raptor Attack,Steel,Sit Down,65,15,560,0,Schwarzkopf,Lightwater Valley,status.operating,,
Rita,Steel,Sit Down,98,21,647,0,Intamin,Alton Towers,status.operating,,
Nickelodeon Streak,Wooden,Sit Down,60,19,700,0,Charles Paige,Blackpool Pleasure Beach,status.operating,,
Runaway Mine Train,Steel,Sit Down,36,6,305,0,Mack,Alton Towers,status.operating,,
Space Invader 2,Steel,Sit Down,45,11,,0,Zierer,Blackpool Pleasure Beach,status.closed.definitely,,
Spinball Whizzer,Steel,Spinning,60,17,450,0,Maurer,Alton Towers,status.operating,,
Steeplechase (Left),Steel,Sit Down,,,,0,Arrow,Blackpool Pleasure Beach,status.operating,,
Twister,Steel,Sit Down,47,13,420,0,Reverchon,Lightwater Valley,status.operating,,
Ultimate,Steel,Sit Down,80,48,2268,0,Big Country Mitioneering,Lightwater Valley,status.operating,,
Wild Mouse,Wooden,Sit Down,,,390,0,na,Blackpool Pleasure Beach,status.closed.definitely,,
Blue Flyer,Steel,Sit Down,,,700,0,Charles Paige,Blackpool Pleasure Beach,status.operating,,
Colossus,Steel,Sit Down,72,30,850,10,Intamin,Thorpe Park,status.operating,,
Dragon's Fury,Steel,Spinning,,18,540,0,Maurer,Chessington World of Adventures,status.operating,,
Fantasy Mouse,Steel,Sit Down,47,13,420,0,Reverchon,Fantasy Island Ingoldmells,status.operating,,
Jellikins Coaster,Steel,Sit Down,,,,0,WGH Transportation,Fantasy Island Ingoldmells,status.operating,,
Jubilee Odyssey,Steel,Inverted,100,51,891,5,Vekoma,Fantasy Island Ingoldmells,status.operating,,
Millennium Roller Coaster,Steel,Sit Down,96,46,,3,Vekoma,Fantasy Island Ingoldmells,status.operating,,
Nemesis Inferno,Steel,Inverted,77,29,750,4,B&M,Thorpe Park,status.operating,,
Rattlesnake,Steel,Sit Down,45,15,370,0,Maurer,Chessington World of Adventures,status.operating,,
Rhombus's Rocket,Steel,Sit Down,36,,,0,Mack,Fantasy Island Ingoldmells,status.operating,,
Scorpion Express,Steel,Sit Down,36,6,245,0,Mack,Chessington World of Adventures,status.operating,,
Strawberry Junior Coaster,Steel,Sit Down,26,3,,0,Pinfari,Fantasy Island Ingoldmells,status.operating,,
Vampire,Steel,Suspended,74,17,716,0,Arrow,Chessington World of Adventures,status.operating,,
The Walking Dead - The Ride,Steel,Sit Down,45,13,400,0,Vekoma,Thorpe Park,status.operating,,
Kingda Ka,Steel,Sit Down,206,139,950,0,Intamin,Six Flags Great Adventure,status.operating,,
Formule 1,Steel,Sit Down,,15,380,0,Pax,Parc Saint Paul,status.operating,,
Do-Dodonpa,Steel,Sit Down,172,52,1189,0,S&S,Fuji-Q Highland,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Bellewaerde,status.operating,,
