name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,,
Maskerade,Steel,Spinning,40,10,236,0,Gerstlauer,Wiener Prater,status.operating,,
Race,Steel,Sit Down,,,,,SBF,Wiener Prater,status.operating,,
High Hazel Mini Mine Coaster,na,Sit Down,,,,,L&T Systems,Wheelgate Adventure Park,status.operating,,
Kiddies Coaster,na,Sit Down,,,,,DAL,Dudley Zoological Gardens,status.operating,,
Clown Coaster,na,Sit Down,,,,,Pinfari,Wicksteed Park,status.operating,,
Ladybird,na,Sit Down,,3,60,,na,Wicksteed Park,status.operating,,
Roller Coaster,na,Sit Down,,,,,Pinfari,Wicksteed Park,status.operating,,
Wacky Warm,na,Sit Down,,,,,na,Funder Park,status.operating,,
Wallis's Wonderful Wriggling Wirral Wacky Worm,na,Sit Down,,,,,na,New Brighton Funfair,status.operating,,
Go Gator,na,Sit Down,,,,,Wisdom Rides,Clacton Pier,status.operating,,
Stellas Revenge,na,Sit Down,,,,,na,Clacton Pier,status.operating,,
Wild Mouse Coaster,na,Sit Down,,,,,na,Clacton Pier,status.operating,,
Switchback,na,Sit Down,,10,233,,I.E. Park,Gulliver's Matlock Bath,status.operating,,
Log Coaster,na,Sit Down,,,,,Cavazza Diego,Gulliver's Matlock Bath,status.operating,,
Mad Mouse,na,Spinning,,,,,Fabbri,M&D Scotland's Theme Park,status.operating,,
Maximus,na,Sit Down,,8,207,,Vekoma,Crealy Adventure Park,status.operating,,
Shark Bay,Steel,Sit Down,,,,,SBF,Crealy Adventure Park,status.operating,,
Twister,Steel,Spinning,,,,,SBF,Crealy Adventure Park,status.operating,,
Space Coaster,na,Sit Down,,11,325,,Pinfari,M&D Scotland's Theme Park,status.closed.definitely,,
Tyrolean Tubtwist,na,Sit Down,,,,,na,Joyland Childrens Fun Park,status.operating,,
Spook Express,na,Sit Down,,,,,WGH Transportation,Joyland Childrens Fun Park,status.operating,,
Buffalo Stampede,na,Sit Down,,,,,Zamperla,Twinlakes Park,status.operating,,
Mercury's Mini Coaster,na,Sit Down,,,,,na,Twinlakes Park,status.operating,,
Mini Apple,na,Sit Down,,,,,Pinfari,Alton Towers,status.closed.definitely,,
Speedy Coaster,na,Sit Down,,,,,na,Clarence Pier,status.operating,,
Skyways,na,Sit Down,,,,,S.D.C.,Clarence Pier,status.operating,,
Twin Spiral Dragon Coaster,na,Sit Down,,,,,Zamperla,Knightly's Funfair,status.operating,,
Rampage,na,Sit Down,,,,,Zierer,Big Sheep,status.operating,,
Rattle Snake,na,Sit Down,,,,,D.P.V. Rides,Knowsley Safari Park,status.operating,,
Roller Coater,na,Sit Down,,,,,na,Cleethorpes Park,status.closed.definitely,,
Runaway Train,Steel,Sit Down,,,,,SBF,St Nicholas Park,status.operating,,
Runaway Train,na,Sit Down,,,,,na,Fort Fun Amusement Park,status.operating,,
Runaway Train,na,Sit Down,,,,,Abc rides,Pettitts Animal Adventure Park,status.operating,,
Spinning Coaster,na,Spinning,,,,,SBF,Cannon Hill Park,status.operating,,
Super Dragon,na,Sit Down,,,,,Pinfari,Treasure Island Amusement Park,status.operating,,
Sea Dragon,na,Sit Down,,,,,Cavazza Diego,Rainbow Park,status.operating,,
Morgawr,na,Sit Down,,,,,na,Camel Creek Adventure Park,status.operating,,
Ocean Coaster,na,Sit Down,,,,,na,Harbour Park,status.operating,,
Bisvaermen,na,Spinning,,,,,SBF,Tivoli Friheden,status.operating,,
Vilde Mus,na,Sit Down,,,,,Mack,Bakken,status.operating,,
Shark Trip,Steel,Sit Down,,,,,SBF,Böhmischer Prater,status.operating,,
Jungle Trailblazer,Wooden,Sit Down,89,32,995,1,Gravity Group,Oriental Heritage Ningbo,status.operating,,
Night Rescue,na,Sit Down,,,,,Golden Horse,Oriental Heritage Ningbo,status.operating,,
Stress Express,na,Sit Down,76,36,285,3,Vekoma,Oriental Heritage Ningbo,status.operating,,
Galaxy Express,na,Sit Down,75,19,453,,Vekoma,Oriental Heritage Xiamen,status.operating,,
Hurricane,na,Sit Down,,,,3,Togo,Himeji Central Park,status.operating,,
Blackhole Coaster,na,Sit Down,,,400,,Zamperla,Greenland,status.operating,,
Gao,na,Sit Down,98,40,1664,,Meisho Amusement Machines,Greenland,status.operating,,
Grampus Jet,Steel,Suspended,,,,0,Vekoma,Greenland,status.operating,,
Ladybird,Steel,Sit Down,,,,0,na,Greenland,status.operating,,
Milky Way (Blue),Steel,Stand Up,,38,800,0,Togo,Greenland,status.operating,,
Milky Way (Pink),Steel,Stand Up,,38,800,0,Togo,Greenland,status.operating,,
Nio,Steel,Inverted,80,33,689,5,Vekoma,Greenland,status.operating,,
Sphinx,Steel,Sit Down,,,,0,na,Greenland,status.operating,,
Spin Mouse,Steel,Spinning,47,13,420,0,Reverchon,Greenland,status.operating,,
Ultra Twister Megaton,Steel,Pipeline,70,30,360,3,Togo,Greenland,status.operating,,
Corkscrew,na,Sit Down,,,,2,Arrow,Rusutsu Resort,status.operating,,
Go Go Sneaker,na,Sit Down,20,,,,Togo,Rusutsu Resort,status.operating,,
Hurricane,Steel,Inverted,80,34,689,5,Vekoma,Rusutsu Resort,status.operating,,
Loop the Loop,na,Sit Down,,,,1,Meisho Amusement Machines,Rusutsu Resort,status.operating,,
Mad Mouse,na,Sit Down,,,,,na,Rusutsu Resort,status.operating,,
Mountain Coaster,na,Sit Down,,,,,Meisho Amusement Machines,Rusutsu Resort,status.operating,,
Standing Coaster,na,Sit Down,75,25,425,1,Togo,Rusutsu Resort,status.operating,,
Ultra Twister,na,Pipeline,,35,,4,Togo,Rusutsu Resort,status.operating,,
Black Hole 2000,na,Sit Down,85,35,974,2,na,Seoul Land,status.operating,,
Columbia Double Loop Coaster,na,Sit Down,85,32,888,2,Senyo Kogyo,Seoul Land,status.operating,,
Crazy Mouse,na,Sit Down,45,,400,,na,Seoul Land,status.operating,,
Tikitoc Train,na,Sit Down,16,,112,,Interpark,Seoul Land,status.operating,,
Tobot Train,na,Sit Down,,,119,,Zamperla,Seoul Land,status.operating,,
Jungle Trailblazer,Wooden,Sit Down,87,34,1216,,Gravity Group,Fantawild Dreamland Zhuzhou,status.operating,,
Stress Express,na,Sit Down,76,36,285,3,Vekoma,Fantawild Dreamland Zhuzhou,status.operating,,
Cú Chulainn,Wooden,Sit Down,90,32,1094,0,Gravity Group,Tayto Park,status.operating,,
Gletscherblitz,na,Sit Down,45,,,0,Mack,Steinwasen Park,status.operating,,
Giant Dipper,Wooden,Sit Down,89,22,793,0,na,Belmont Park,status.operating,,
Dragon Wagon,na,Sit Down,,,,,Wisdom Rides,Indiana Beach,status.operating,,
Tig'rr Coaster,na,Sit Down,50,14,538,,Schwarzkopf,Indiana Beach,status.operating,,
Hype,na,Sit Down,100,46,263,1,Premier Rides,Särkänniemi Amusement Park,status.operating,,
Ratón Feliz,na,Spinning,29,7,216,,Zamperla,Xetulul,status.operating,,
Crazy Mining Cart,na,Sit Down,45,,750,,Golden Horse,Lewa Adventure,status.operating,,
Dinosaur's Spine,na,Inverted,80,38,,4,Golden Horse,Lewa Adventure,status.operating,,
Flash,Steel,Sit Down,115,61,1273,2,Mack,Lewa Adventure,status.operating,,
Happy Chew Chew Train,na,Sit Down,,,,,Golden Horse,Lewa Adventure,status.operating,,
Horse Roller Coaster,na,Sit Down,,,,,Beijing Jiuhua,Lewa Adventure,status.operating,,
Motor Rider,na,Motorbike,,,,,Golden Horse,Lewa Adventure,status.operating,,
Scream Valley Train,na,Sit Down,,,,3,Beijing Shibaolai,Lewa Adventure,status.operating,,
Flyvende Ørn,Steel,Sit Down,46,11,280,0,Zierer,Legoland Billund,status.operating,,
Pirates Gold Rush,na,Sit Down,,,,,E&F Miler Industries,Playland's Castaway Cove,status.operating,,
Whirlwind,na,Spinning,,4,58,,na,Playland's Castaway Cove,status.operating,,
Wild Waves,na,Sit Down,,15,,,E&F Miler Industries,Playland's Castaway Cove,status.operating,,
Train de la Mine,Steel,Sit Down,,,,0,SBF,Piratland,status.operating,,
Jungle Trailblazer,Wooden,Sit Down,87,33,975,0,Gravity Group,Fantawild Dreamland Zhengzhou,status.operating,,
Galaxy Express,na,Sit Down,,,,,Vekoma,Fantawild Dreamland Zhengzhou,status.operating,,
Crazy Skateboard,na,Spinning,,14,288,,Golden Horse,Sun Park,status.operating,,
Flying Coaster,na,Motorbike,,,,,Beijing Jiuhua,Sun Park,status.operating,,
Jungle Block,na,Sit Down,,3,,,na,Sun Park,status.operating,,
Space Scooter,na,Sit Down,,,,,na,Sun Park,status.operating,,
Wood Express,Wooden,Sit Down,61,15,479,0,Gravity Group,Parc Saint Paul,status.operating,,
Neo's Twister,na,Spinning,,10,420,0,Fabbri,PowerPark,status.operating,,
Undertow,Steel,Spinning,64,15,430,0,Maurer,Santa Cruz Beach Boardwalk,status.operating,,
DrageKongen,Steel,Inverted,85,30,825,0,Intamin,Djurs Sommerland,status.operating,,
Vilde Hønsejagt,Steel,Sit Down,,,,0,Zierer,Djurs Sommerland,status.operating,,
Jungle Rally,Steel,Sit Down,24,4,70,0,Zierer,Djurs Sommerland,status.operating,,
Il Tempo Extra Gigante,Steel,Sit Down,65,25,535,0,Zierer,Hunderfossen Familiepark,status.operating,,
Batman: The Ride,Steel,4th Dimension,61,36,310,0,S&S,Six Flags Fiesta Texas,status.operating,,
Joker,Steel,4th Dimension,61,36,310,0,S&S,Six flags Over Texas,status.operating,,
Cancan Coaster,Steel,Sit Down,60,26,922,0,Mack,Europa Park,status.operating,,
Hydrus,na,Sit Down,73,22,320,3,Gerstlauer,Casino Pier,status.operating,,
Young Star Coaster,na,Sit Down,,,,,Mack,Chimelong Paradise,status.operating,,
Dragon Legend,na,Sit Down,85,,590,3,Maurer,Romon U-Park,status.operating,,
Euro Express,na,Sit Down,80,30,560,2,Intamin,Romon U-Park,status.operating,,
Flying Wing Coaster,na,Wing,,,,5,B&M,Happy Valley Chongqing,status.operating,,
Jungle Trailblazer,Wooden,Sit Down,,33,990,,Gravity Group,Oriental Heritage Xiamen,status.operating,,
unknown,na,Wing,,,,,B&M,Happy Valley Nanjing,status.announced,,
unknown,na,Sit Down,,,,,Intamin,Happy Valley Nanjing,status.announced,,
unknown,na,Suspended,,,,,Vekoma,Happy Valley Nanjing,status.announced,,
unknown,na,Sit Down,,,,,Intamin,Chengdu Wanda City,status.construction,,
Fruitworm Train,na,Sit Down,,,,,Golden Horse,Heilongjiang Wanda Theme Park,status.operating,,
Happy Angel,na,Inverted,87,,,6,Golden Horse,Heilongjiang Wanda Theme Park,status.operating,,
Snow Mountain Racer,na,Sit Down,,,,,Golden Horse,Heilongjiang Wanda Theme Park,status.operating,,
Spinning Coaster,na,Spinning,,,,,Golden Horse,Heilongjiang Wanda Theme Park,status.operating,,
Time Travel,Wooden,Sit Down,94,32,1122,,Gravity Group,Hot Go Park,status.operating,,
Mine Train,na,Sit Down,,,,,Beijing Shibaolai,Hot Go Park,status.operating,,
Light-Speed Coaster,na,Inverted,80,33,800,4,Beijing Shibaolai,Hot Go Park,status.operating,,
Jungle Walk,na,Suspended,,,410,,Wiegand,Hot Go Park,status.operating,,
Forest Slide,na,Alpine,,,560,,Wiegand,Hot Go Park,status.operating,,
Wild Whizzer,na,Spinning,,,,,SBF,Morey's Piers,status.operating,,
Untamed,Hybrid,Sit Down,92,37,1085,5,RMC,Walibi Holland,status.operating,,
Unknown,Steel,Sit Down,,,,,Vekoma,EPCOT,status.construction,,
Thrillseeker,Steel,Sit Down,65,14,585,0,S.D.C.,Sea World,status.closed.definitely,,
Corkscrew,na,Sit Down,81,26,595,3,Arrow,Valleyfair,status.operating,,
Cosmic Coaster,na,Sit Down,,,65,,Zamperla,Valleyfair,status.operating,,
Excalibur,Hybrid,Sit Down,88,31,736,,Arrow,Valleyfair,status.operating,,
High Roller,Wooden,Sit Down,81,22,909,,na,Valleyfair,status.operating,,
Mad Mouse,na,Sit Down,49,15,383,,Arrow,Valleyfair,status.operating,,
Junior Red Force,Steel,Sit Down,45,,,0,SBF,Ferrari Land,status.operating,,
Adrenaline Peak,Steel,Sit Down,72,22,320,3,Gerstlauer,Oaks Amusement Park,status.operating,,
Zoooooom,Steel,Sit Down,,,,0,Miler Coaster,Oaks Amusement Park,status.operating,,
Mystic,Steel,Sit Down,85,31,575,3,Gerstlauer,Walibi Rhône Alpes,status.operating,,
Mission Kepler,Steel,Spinning,,12,,0,Intamin,Futuroscope,status.construction,,
Wild Mouse,Wooden,Sit Down,,12,487,0,Hopkins,Aussie World,status.closed.definitely,,
Bug Run Kiddie Rollercoaster,na,Sit Down,,,,0,D.P.V. Rides,Aussie World,status.operating,,
Diamond Python,na,Sit Down,38,12,335,0,Pinfari,Merimbula's Magic Mountain,status.operating,,
Mining Racer Coaster,na,Sit Down,,,,,SBF,Gumbuya World,status.operating,,
Crazy Coaster,na,Spinning,30,7,113,0,SBF,Adventure Park Geelong,status.operating,,
Rollercoaster Wikingów,Steel,Sit Down,40,9,222,0,Zierer,Majaland Kownaty,status.operating,,
Wilkołak,Wooden,Sit Down,70,22,620,0,GCI,Majaland Kownaty,status.operating,,
Orient Express,na,Sit Down,81,36,1058,4,Arrow,Worlds of Fun,status.closed.definitely,,
TMNT Shellraiser,na,Sit Down,100,43,1000,7,Gerstlauer,Nickelodeon Universe Theme Park,status.construction,,
The Shredder,na,Spinning,55,19,921,0,Gerstlauer,Nickelodeon Universe Theme Park,status.construction,,
Fury,Steel,Sit Down,106,43,600,4,Gerstlauer,Bobbejaanland,status.operating,,
Max & Moritz (Max),Steel,Sit Down,,,,0,Mack,Efteling,status.announced,,
Looping Star,Steel,Sit Down,75,24,592,1,Schwarzkopf,Parko Paliatso,status.operating,,
Eurostar,Steel,Inverted,80,30,800,4,Intamin,Gorky Park,status.closed.definitely,,
Dragon Flier,na,Suspended,75,19,453,0,Vekoma,Dollywood,status.operating,,
Tourbillon,Steel,Sit Down,,,,0,Gosetto,Ange Michel,status.operating,,
Taiga,Steel,Sit Down,106,52,1104,4,Intamin,Linnanmäki,status.operating,,
Crazy Skaters,na,Sit Down,,,,,Beijing Jiuhua,Shengming Universal City,status.operating,,
Stunning Roller Coaster,na,Spinning,,18,392,1,Golden Horse,Shengming Universal City,status.operating,,
Le Jet,Steel,Sit Down,,,,0,Schwarzkopf,Babyland-Amiland,status.construction,,
Bûche dansante,Steel,Spinning,,,,0,SBF,Babyland-Amiland,status.operating,,
Zadra,Hybrid,Sit Down,115,63,1300,3,RMC,Energylandia,status.construction,,
Unnamed Shockwave+,Steel,Sit Down,100,45,1320,4,Vekoma,Energylandia,status.announced,,
Bad Trip,na,Spinning,33,11,310,0,Cedeal ride,Europark,status.operating,,
Grosse Pomme,Steel,Sit Down,,,,0,na,Babyland-Amiland,status.operating,,
Pioneer,na,Sit Down,60,25,600,0,Zierer,OK Corral,status.operating,,
Sea Dragon,Wooden,Sit Down,,11,402,,Philadelphia Toboggan Coaster,Columbus Zoo and Aquarium,status.operating,,
U-shaped Roller Coaster,Steel,Wing,100,57,177,0,Intamin,Victory Kingdom,status.closed.temporarily,,
Across Amazon,Steel,Water Coaster,,,,0,Golden Horse,Victory Kingdom,status.closed.temporarily,,
Spinning Coaster,Steel,Spinning,,,,0,Golden Horse,Victory Kingdom,status.closed.temporarily,,
Suspended Looping Coaster,Steel,Inverted,,,,4,Golden Horse,Victory Kingdom,status.closed.temporarily,,
Project 1,na,Sit Down,,16,280,,L&T Systems,Cavallino Matto,status.operating,,
Freestyle,na,Stand Up,82,27,673,,Togo,Cavallino Matto,status.operating,,
Supersplash,na,Water Coaster,76,29,335,0,Mack,TusenFryd,status.operating,,
Silberpfeil,na,Sit Down,,,,1,Schwarzkopf,Skyline Park,status.closed.definitely,,
K2,na,Sit Down,60,24,530,0,Abc rides,Karls Erlebnis-Dorf Elstal,status.operating,,
Unknown,na,Sit Down,,22,,,Vekoma,Tripsdrill,status.announced,,
Copperhead Strike,Steel,Sit Down,80,25,992,5,Mack,Carowinds,status.operating,,
Iron Shark,Steel,Sit Down,84,31,380,1,Gerstlauer,Galveston Island Historic Pleasure Pier,status.operating,,
Predator,Steel,Sit Down,70,22,361,3,Gerstlauer,IMG Worlds of Adventure,status.operating,,
Spider-Man Doc Ock's Revenge,Steel,Spinning,,,400,0,Mack,IMG Worlds of Adventure,status.operating,,
Polar Coaster,Steel,Sit Down,,,,0,Hopkins,Story Land,status.operating,,
Cascabel 2.0,Steel,Sit Down,,,,1,Schwarzkopf,La Feria Chapultepec Magico,status.operating,,
Montaña Rusa,Wooden,Sit Down,85,34,1219,0,National Amusement Devices,La Feria Chapultepec Magico,status.operating,,
Quimera,Steel,Sit Down,85,34,1050,3,Schwarzkopf,La Feria Chapultepec Magico,status.operating,,
Ratón Loco,Steel,Spinning,47,13,420,0,Reverchon,La Feria Chapultepec Magico,status.operating,,
Gadget's Go Coaster,Steel,Sit Down,35,9,207,0,Vekoma,Tokyo Disneyland,status.operating,,
Space Mountain,Steel,Sit Down,,31,1052,0,Walt Disney Imagineering,Tokyo Disneyland,status.operating,,
Squalotto,Steel,Sit Down,,,,0,na,Zoomarine,status.announced,,
Vertigo,Steel,Sit Down,77,25,592,1,Schwarzkopf,Zoomarine,status.operating,,
En avant Seccotine,Steel,Sit Down,,,,0,Zierer,Parc Spirou,status.operating,,
Caterpillar,na,Sit Down,,,,,na,Flamingo Park,status.operating,,
Chenille,na,Sit Down,,,,,na,Flamingo Park,status.closed.definitely,,
Speed Coaster,na,Sit Down,,,,,na,Flamingo Park,status.closed.definitely,,
Ciclón,na,Sit Down,,,,,na,PPS Park Platja d'Aro,status.operating,,
Gold Mine,na,Sit Down,,,,,na,PPS Park Platja d'Aro,status.operating,,
Crazy Mouse,na,Spinning,,,,,Reverchon,South Pier,status.closed.definitely,,
Crazy Coaster,na,Spinning,,,,,Reverchon,South Pier,status.operating,,
Wild Mine Ride,na,Sit Down,,,,,L&T Systems,Gulliver's World Warrington,status.closed.definitely,,
Speedy,na,Sit Down,,,,,na,Lunapark Cap d'Agde,status.operating,,
Thunder Road (Right),Wooden,Sit Down,93,28,1164,,Philadelphia Toboggan Coaster,Carowinds,status.closed.definitely,,
Roller Coaster (Kiener),na,Sit Down,,,,,Abc rides,Foire,status.operating,,
Taxi Driver,na,Sit Down,,,,,Abc rides,Foire,status.operating,,
Willy der Wurm (Bauemeister),na,Sit Down,,,,,Abc rides,Foire,status.operating,,
Wilde Maus (Kinzler),na,Sit Down,,,,,Abc rides,Foire,status.operating,,
Magic Pomme,na,Sit Down,,,,,na,Magic World,status.operating,,
Speed Rockets,na,Sit Down,,11,400,0,Gerstlauer,Jardin d'Acclimatation,status.operating,,
Souris Aventure,Steel,Sit Down,,,,,na,Royaume des Enfants (Cergy),status.operating,,
Souris Aventure,Steel,Sit Down,,,,0,na,Royaume des Enfants (Draveil),status.operating,,
Luge,na,Alpine,,,680,0,Wiegand,Ile des Loisirs d'Etampes,status.operating,,
Ice Mountain,na,Spinning,,,,,Reverchon,Foire,status.operating,,
Racing Coaster (Manning),na,Sit Down,,,,,na,Foire,status.operating,,
Spinning Coaster (Buwalda),na,Spinning,,,,,na,Foire,status.operating,,
Spinning Coaster XXL (Buwalda),na,Spinning,,,,,na,Foire,status.operating,,
Dragon Coaster,Steel,Sit Down,,,,0,Zamperla,Family Fun Park,status.operating,,
Comet Coaster,Steel,Sit Down,,,,0,Zamperla,Magic Galaxy,status.operating,,
Matterhorn Bobsleds (Right),Steel,Sit Down,43,24,650,0,Arrow,Disneyland,status.operating,,
Dragon Wagon,na,Sit Down,,,,0,na,Foire,status.operating,,
Spinning Out,Steel,Spinning,,,,0,SBF,Beech Bend,status.operating,,
Unknown,na,Sit Down,,,,,Mack,Europa Park,status.announced,,
Fast and Furry-ous,Steel,Inverted,50,18,400,0,Intamin,Warner Bros. World Abu Dhabi,status.operating,,
Yukon Striker,Steel,Sit Down,130,75,1105,4,B&M,Canada's Wonderland,status.operating,,
Hakugei,Hybrid,Sit Down,107,55,1530,0,RMC,Nagashima Spa Land,status.operating,,
Policías y Ratones,na,Spinning,,,,,Reverchon,Bosque Mágico,status.operating,,
Tornado,na,Sit Down,,,,,Vekoma,Bosque Mágico,status.operating,,
Zombie Ride,na,Sit Down,99,46,,,Premier Rides,Bosque Mágico,status.operating,,
Black Hole Coaster,Steel,Sit Down,,,,,Vekoma,Dream World,status.operating,,
Sky Coaster,na,Suspended,,,,,Vekoma,Dream World,status.operating,,
Speedy Mouse,na,Sit Down,,,,,Cavazza Diego,Dream World,status.operating,,
Alap Alap,na,Sit Down,,,,,Zierer,Dunia Fantasi,status.operating,,
Halilintar,na,Sit Down,,,,,Arrow,Dunia Fantasi,status.operating,,
Jet Coaster,na,Sit Down,,,,,Zamperla,Jawa Timur Park 1,status.operating,,
Spinning Coaster,na,Spinning,,,,,Golden Horse,Jawa Timur Park 1,status.operating,,
Superman Coaster,na,Sit Down,,,,,Pinfari,Jawa Timur Park 1,status.operating,,
Ulat Coaster,na,Sit Down,,,,,Golden Horse,Jawa Timur Park 1,status.operating,,
Volcano Coaster,na,Sit Down,,,,,na,Jawa Timur Park 1,status.operating,,
Buzz Coaster,na,Sit Down,,,,,Zierer,Mikie Holiday Funland,status.operating,,
Dino Tracker,na,Sit Down,,,,,na,Mikie Holiday Funland,status.operating,,
Dragon,na,Sit Down,,,,,Zierer,Legoland Malaysia,status.operating,,
Dragon's Apprentice,na,Sit Down,,,,,Zierer,Legoland Malaysia,status.operating,,
Great Lego Race,na,Sit Down,,,,,Mack,Legoland Malaysia,status.operating,,
Lost City of Gold,na,Sit Down,,,,,Soquet,Sunway Lagoon,status.operating,,
Wild Mouse,na,Sit Down,,,,,Maurer,Funtown Splashtown USA,status.operating,,
Merlin's Mayhem,na,Inverted,,,,,S&S,Dutch Wonderland,status.operating,,
Joust,na,Sit Down,,,,,Chance Rides,Dutch Wonderland,status.operating,,
Max's Doggy Dog Coaster,na,Sit Down,,,,,SBF,Fantasy Island New York,status.operating,,
Crazy Mouse,na,Sit Down,,,,,Zamperla,Fantasy Island New York,status.operating,,
MIni Roller Coaster,na,Sit Down,,,,,na,Suoi Tien Park,status.operating,,
Secret of Sorcerer Forest,na,Sit Down,,,,,na,Suoi Tien Park,status.operating,,
Children's Spiral Coaster,na,Sit Down,,,,,Beijing Shibaolai,Dam Sen Park,status.operating,,
Flying Dragon,na,Sit Down,,,,,na,Dam Sen Park,status.operating,,
Roller Coaster,na,Sit Down,,,,,na,Dam Sen Park,status.operating,,
Spinning Coaster,na,Spinning,,,,,Golden Horse,Dam Sen Park,status.operating,,
Alpine Coaster,na,Alpine,,,1200,,Wiegand,Vinpearl Land Nha Trang,status.operating,,
Mine Adventure,na,Sit Down,,,,,Vekoma,Vinpearl Land Nha Trang,status.operating,,
Kid's Roller Coaster,na,Sit Down,,,207,,Vekoma,Vinpearl Land Phu Quoc,status.operating,,
Roller Coaster,na,Sit Down,,,,,Vekoma,Vinpearl Land Phu Quoc,status.operating,,
Lost Valley,na,Sit Down,,,,,Vekoma,Vinpearl Land Hội An,status.operating,,
Firestorm,na,Sit Down,,,,,Vekoma,Vinpearl Land Ho Chi Minh,status.announced,,
Desert Twister,na,Suspended,,,453,,Vekoma,Vinpearl Land Hội An,status.operating,,
Dragon's Run,na,Sit Down,105,46,1139,6,B&M,Dragon Park Ha Long,status.operating,,
Little Dragon's Flight,na,Suspended,,,395,,Vekoma,Dragon Park Ha Long,status.operating,,
Mine Train Coaster,na,Sit Down,,,335,,Vekoma,Dragon Park Ha Long,status.operating,,
Highway Boat,na,Suspended,,,,,Intamin,Sun World Danang Wonders,status.announced,,
Garuda Valley,na,Sit Down,,,,,Vekoma,Sun World Danang Wonders,status.operating,,
Paradise Fall,na,Sit Down,,,,,Intamin,Sun World Danang Wonders,status.operating,,
Port of Sky Treasure,na,Sit Down,,,,,Vekoma,Sun World Danang Wonders,status.operating,,
Queen Cobra,na,Inverted,,,689,,Vekoma,Sun World Danang Wonders,status.operating,,
Hagrid’s Magical Creatures Motorbike Adventure,Steel,Sit Down,80,,,0,Intamin,Universal Studios Islands of Adventure,status.operating,,
Steel Curtain,Steel,Sit Down,120,67,1220,9,S&S,Kennywood,status.operating,,
Crazy Mouse,na,Sit Down,47,11,316,,Zamperla,OWA,status.operating,,
Rollin' Thunder,na,Sit Down,90,35,681,4,Zamperla,OWA,status.operating,,
Southern Express,na,Sit Down,,4,80,,Zamperla,OWA,status.operating,,
Yippe,na,Sit Down,,,,,Gerstlauer,Parque del Café,status.operating,,
Dragon's Apprentice,Steel,Sit Down,,,,0,Zamperla,Legoland Dubai,status.operating,,
Dragon,Steel,Sit Down,60,16,,0,Zierer,Legoland Dubai,status.operating,,
Wickie Coaster,Steel,Sit Down,39,9,220,0,Zierer,Plopsa Indoor Hasselt,status.operating,,
Flight School,Steel,Sit Down,46,13,281,0,Zierer,Tayto Park,status.announced,,
Ladybird Loop,Steel,Spinning,,57,4,0,SBF,Tayto Park,status.operating,,
Race Coaster,Steel,Sit Down,,,,0,SBF,The Land of Legends,status.operating,,
Family Coaster,Steel,Sit Down,,,,0,Gerstlauer,The Land of Legends,status.operating,,
Harpy,na,Flying,85,40,885,2,B&M,Xishuangbanna Theme Park,status.operating,,
Hydro Racer,na,Water Coaster,86,45,503,0,Intamin,Xishuangbanna Theme Park,status.operating,,
Storm Rider,na,Motorbike,85,,450,,Zamperla,Xishuangbanna Theme Park,status.operating,,
Motorbike Roller Coaster,na,Motorbike,72,14,597,,Vekoma,Happy World (Nanjing),status.operating,,
Spinning Coaster,na,Spinning,,,,,Beijing Jiuhua,Happy World (Nanjing),status.operating,,
Battle of Blue Fire,Steel,Sit Down,100,38,1056,4,Mack,Quancheng Euro Park,status.operating,,
Children Coaster,na,Sit Down,20,,200,,Beijing Jiuhua,Quancheng Euro Park,status.operating,,
Crazy Snow Board,na,Spinning,,,,,Beijing Jiuhua,Quancheng Euro Park,status.operating,,
Galaxy Coaster,na,Sit Down,,,,,Beijing Jiuhua,Quancheng Euro Park,status.operating,,
Mine Coaster,na,Sit Down,,,,,Beijing Jiuhua,Quancheng Euro Park,status.operating,,
Motor Coaster,na,Motorbike,,,,,Beijing Jiuhua,Quancheng Euro Park,status.operating,,
Spinning Coaster,na,Spinning,,,,,Beijing Jiuhua,Quancheng Euro Park,status.operating,,
Twister,na,Inverted,75,32,788,4,Beijing Jiuhua,Quancheng Euro Park,status.operating,,
White Horse Coaster,na,Sit Down,,,,,Beijing Jiuhua,Quancheng Euro Park,status.operating,,
Jungle Trailblazer,Wooden,Sit Down,87,33,975,,Gravity Group,Fantawild Asian Legends,status.operating,,
ASEAN Express,na,Sit Down,75,35,285,,Vekoma,Fantawild Asian Legends,status.operating,,
Wilde Hilde,na,4th Dimension,0,25,100,0,RES,Schwaben Park,status.operating,,
N/A,na,Sit Down,0,0,0,0,Golden Horse,Happy Valley Nanjing,status.announced,,
Falcon,na,Wing,118,60,1278,4,B&M,Wuxi Sunac Land,status.operating,,
Dream Factory,na,Sit Down,45,0,530,0,Zamperla,Wuxi Sunac Land,status.construction,,
Velikolukskiy Myasokombinat-2,Steel,Sit Down,85,33,875,10,Intamin,Wonder Island,status.operating,,
Steam Racers,na,Sit Down,100,38,1056,4,Mack,Wuxi Sunac Land,status.construction,,
Unnamed Hyper Coaster,Steel,Sit Down,0,0,0,0,B&M,Hot Go Dreamworld,status.construction,,
Velikolukskiy Myasokombinat,Steel,Sit Down,100,38,1056,4,Mack,Wonder Island,status.operating,,
Unnamed Family Dueling,Steel,Sit Down,0,10,430,0,Preston & Barbieri,Hot Go Dreamworld,status.construction,,
Unnamed Wing Rider,na,Wing,0,0,0,5,B&M,Hot Go Dreamworld,status.construction,,
